id,template,count
45,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local <:IP:><:PORT:> <:IP:>:<:NUM:> <:IP:><:PORT:> - default",504652
63,"""- - -"" <:NUM:> - - - ""-"" <:NUM:> <:NUM:> <:NUM:> - ""-"" ""-"" ""-"" ""-"" ""<:IP:><:PORT:>"" outbound <:NUM:> <:*:> <:IP:><:PORT:> <:IP:>:<:NUM:> <:IP:><:PORT:> - -",503807
64,"""POST /hipstershop.ProductCatalogService/GetProduct HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:><:PORT:> <:IP:><:PORT:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",503795
3,"""POST /api/traces HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""Go-http-client/<:NUM:>.<:NUM:>"" ""<:USERID:>"" ""jaeger-collector:<:NUM:>"" ""<:IP:><:PORT:>"" outbound <:NUM:> jaeger-collector.ts.svc.cluster.local <:IP:><:PORT:> <:IP:>:<:NUM:> <:IP:><:PORT:> - default",264362
1,"""POST /hipstershop.CurrencyService/Convert HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:><:PORT:> <:IP:><:PORT:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",244815
10,"severity: info, message: conversion request successful",244462
12,"severity: info, message: received conversion request",244462
53,"""POST /hipstershop.CurrencyService/Convert HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local <:IP:><:PORT:> <:IP:><:PORT:> <:IP:><:PORT:> - default",244439
6,[40m<:ANSI:>info<:ANSI:><:ANSI:><:ANSI:>: Microsoft.AspNetCore.Hosting.Diagnostics[<:NUM:>],212255
5,[40m<:ANSI:>info<:ANSI:><:ANSI:><:ANSI:>: Microsoft.AspNetCore.Routing.EndpointMiddleware[<:NUM:>],212254
65,"""POST /hipstershop.ProductCatalogService/ListProducts HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-python/<:NUM:>.<:NUM:>.<:NUM:> grpc-c/<:NUM:>.<:NUM:>.<:NUM:> (manylinux; chttp2)"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:><:PORT:> <:IP:><:PORT:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",117224
24,"severity: debug, message: request started",110621
18,"severity: debug, message: request complete",110618
15,Request finished in <:DURATION:>ms <:NUM:> application/grpc,106128
4,"""POST /hipstershop.CurrencyService/GetSupportedCurrencies HTTP/<:HTTPVER:>"" <:NUM:> - via upstream - ""-"" <:NUM:> <:NUM:> <:NUM:> <:NUM:> ""-"" ""grpc-go/<:GRPCVER:>"" ""<:USERID:>"" ""<:SERVICE:><:PORT:>"" ""<:IP:><:PORT:>"" inbound <:NUM:> <:IP:><:PORT:> <:IP:><:PORT:> <:IP:><:PORT:> outbound <:NUM:> <:SERVICE:>.ts.svc.cluster.local default",92950
